year,city,avg_temp
1998,Moscow,4.47
1999,Moscow,5.94
2000,Moscow,5.96
2001,Moscow,5.32
2002,Moscow,5.63
2003,Moscow,4.99
2004,Moscow,5.32
2005,Moscow,5.54
2006,Moscow,4.91
2007,Moscow,6.43
2008,Moscow,6.76
2009,Moscow,5.69
2010,Moscow,5.91
2011,Moscow,6.01
2012,Moscow,5.20
2013,Moscow,6.80
